제목,카테고리,경도,위도,추가정보
화도읍 맷돌로 112,업로드,127.302701,37.65736,단속일시:2026-01-28 19:31:23;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573603;_GPS_Y:127.302701
화도읍 맷돌로 112,업로드,127.30262,37.657428,단속일시:2026-03-13 13:55:03;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6574280;_GPS_Y:127.302620
화도읍 맷돌로 110-9,업로드,127.302654,37.657284,단속일시:2026-01-04 09:45:02;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572840;_GPS_Y:127.302654
화도읍 맷돌로 114,업로드,127.302874,37.657288,단속일시:2026-02-25 14:44:46;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572880;_GPS_Y:127.302874
화도읍 맷돌로 110-9,업로드,127.302569,37.657295,단속일시:2026-01-12 15:29:41;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572951;_GPS_Y:127.302569
화도읍 맷돌로 110-9,업로드,127.302582,37.657291,단속일시:2026-01-04 09:49:15;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572910;_GPS_Y:127.302582
화도읍 맷돌로 110-9,업로드,127.302565,37.657296,단속일시:2026-02-02 14:13:19;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572958;_GPS_Y:127.302565
화도읍 맷돌로 110-9,업로드,127.302622,37.65729,단속일시:2026-01-28 19:31:29;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572898;_GPS_Y:127.302622
화도읍 맷돌로 110-9,업로드,127.30259,37.657296,단속일시:2026-01-28 10:10:58;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572963;_GPS_Y:127.302590
화도읍 맷돌로 110-9,업로드,127.302563,37.657302,단속일시:2026-02-19 19:12:44;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573018;_GPS_Y:127.302563
화도읍 맷돌로 110-9,업로드,127.302626,37.65727,단속일시:2026-02-20 15:02:03;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572700;_GPS_Y:127.302626
화도읍 맷돌로 114,업로드,127.302874,37.657273,단속일시:2026-02-27 14:31:52;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572730;_GPS_Y:127.302874
화도읍 맷돌로 114,업로드,127.302844,37.657266,단속일시:2026-03-11 14:38:09;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572660;_GPS_Y:127.302844
화도읍 맷돌로 114,업로드,127.302796,37.657275,단속일시:2026-01-30 10:10:52;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572746;_GPS_Y:127.302796
화도읍 맷돌로 114,업로드,127.302826,37.65728,단속일시:2026-03-12 14:32:40;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572800;_GPS_Y:127.302826
화도읍 맷돌로 110-9,업로드,127.302577,37.657278,단속일시:2026-02-05 14:57:22;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572783;_GPS_Y:127.302577
화도읍 맷돌로 110-9,업로드,127.302573,37.657282,단속일시:2026-01-23 10:33:42;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572816;_GPS_Y:127.302573
화도읍 맷돌로 110-9,업로드,127.302662,37.657284,단속일시:2026-01-05 10:10:55;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572835;_GPS_Y:127.302662
화도읍 맷돌로 112,업로드,127.302522,37.65731,단속일시:2026-02-19 19:12:47;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573101;_GPS_Y:127.302522
화도읍 맷돌로 110-9,업로드,127.302467,37.657316,단속일시:2026-01-06 19:33:58;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573156;_GPS_Y:127.302467
화도읍 맷돌로 112,업로드,127.302488,37.657316,단속일시:2026-03-24 10:13:01;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573160;_GPS_Y:127.302488
화도읍 맷돌로 112,업로드,127.302517,37.657383,단속일시:2026-03-11 14:38:21;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573830;_GPS_Y:127.302517
화도읍 맷돌로 112,업로드,127.302494,37.657388,단속일시:2026-02-27 14:32:05;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573880;_GPS_Y:127.302494
화도읍 맷돌로 112,업로드,127.302475,37.65733,단속일시:2026-01-07 19:10:51;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573300;_GPS_Y:127.302475
화도읍 맷돌로 112,업로드,127.302512,37.657373,단속일시:2026-02-19 14:46:54;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573730;_GPS_Y:127.302512
화도읍 맷돌로 112,업로드,127.30255,37.657384,단속일시:2026-01-21 10:37:47;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573838;_GPS_Y:127.302550
화도읍 맷돌로 110-9,업로드,127.302466,37.657293,단속일시:2026-03-16 10:42:20;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572930;_GPS_Y:127.302466
화도읍 맷돌로 110-9,업로드,127.302505,37.657294,단속일시:2026-01-30 10:11:37;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572941;_GPS_Y:127.302505
화도읍 맷돌로 110-9,업로드,127.302475,37.657302,단속일시:2026-03-24 10:13:14;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573020;_GPS_Y:127.302475
화도읍 맷돌로 110-9,업로드,127.302543,37.657299,단속일시:2026-01-12 15:29:46;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572990;_GPS_Y:127.302543
화도읍 맷돌로 110-9,업로드,127.302474,37.657302,단속일시:2026-01-23 10:33:47;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573016;_GPS_Y:127.302474
화도읍 맷돌로 112,업로드,127.302489,37.657308,단속일시:2026-01-28 10:11:05;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573080;_GPS_Y:127.302489
화도읍 맷돌로 112,업로드,127.30249,37.657309,단속일시:2026-02-05 14:57:29;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573085;_GPS_Y:127.302490
화도읍 맷돌로 112,업로드,127.30252,37.657309,단속일시:2026-01-30 10:11:09;단속동:화도읍;단속장소:화도읍 맷돌로 112;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6573085;_GPS_Y:127.302520
화도읍 맷돌로 110-9,업로드,127.302514,37.657279,단속일시:2026-01-30 10:11:30;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572788;_GPS_Y:127.302514
화도읍 맷돌로 110-9,업로드,127.302489,37.657275,단속일시:2026-02-10 15:16:05;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572750;_GPS_Y:127.302489
화도읍 맷돌로 110-9,업로드,127.302473,37.657267,단속일시:2026-01-28 10:11:14;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572671;_GPS_Y:127.302473
화도읍 맷돌로 110-9,업로드,127.302489,37.65727,단속일시:2026-01-27 10:08:20;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572698;_GPS_Y:127.302489
화도읍 맷돌로 110-9,업로드,127.302479,37.657283,단속일시:2026-01-25 10:14:39;단속동:화도읍;단속장소:화도읍 맷돌로 110-9;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572830;_GPS_Y:127.302479
